treat,debt,lopen,lrer,bndvol,gdpgvol,pivol,spreadvol
0,49.6,75.9,100,0.2,1,1.2,1
0,60.9,81.3,97.9,0.9,1,0.7,0.4
0,40.2,82.7,96.1,1.1,0.9,1.8,1.6
0,42.7,85.6,97.4,1.4,1.4,1.5,2.7
0,88.9,90.5,96.3,0.4,2.1,0.5,1.3
0,97.5,96,93.5,0.4,2.1,0.5,1.3
0,10.9,86.5,64.7,1.3,1.4,0.4,2.3
0,10.9,86.5,64.7,1.3,1.4,0.4,2.3
0,12.6,98.5,65.7,1.6,1.3,1.5,0.3
0,14.2,99.5,69.8,0.6,1,2.3,0.7
0,14.8,91.8,77.8,0.4,1.7,1.4,0.7
0,17.5,95.3,76.3,0.6,1.4,1.4,0.4
1,19.3,114,77.2,0.2,1,0.5,0.2
1,21.1,122.3,81.7,0.6,0.7,0.5,0.2
1,22.7,127.8,86.2,0.5,2.1,2,0.5
1,23.1,130.7,88.9,0.3,5.4,2.6,2.1
1,24.4,124.6,102.6,0.2,4.2,2.9,1.6
1,29.6,113.7,98.4,0.1,4,0.4,1.2
1,33.6,129.3,100,1,1.7,1,0.7
1,36.3,138.8,102.2,0.9,1.5,0.9,0.7
1,40.6,147.5,99.1,0.9,1.9,1.5,0.7
1,40.6,148,97.1,0.9,2.5,0.6,0.6
1,38.2,158.7,91.4,0.1,2,0.2,0.8
1,36.7,159.8,89.9,0.1,2,0.2,0.8
1,23.5,72.8,94.7,0.4,1.5,0.3,1.2
1,23.5,72.8,94.7,0.4,1.5,0.3,1.2
1,14.8,83.1,90.7,0.3,1.8,0.3,1
1,48.5,84.1,91.6,0.4,0.2,0.2,0.6
1,21.1,84.6,93.4,0.4,1.3,0.6,0.1
1,6.7,81,98.1,0.5,1.2,0.5,0
1,114.2,82.3,99,0.5,0.8,0.4,0
1,12.6,89.4,98,0.4,1.5,0.1,0.2
1,6.7,97.4,97.7,0.3,2.3,0.9,0.5
1,30.8,100.1,98.7,0.4,3,1.1,2.2
1,46.1,104.8,100.6,0.7,3.4,1,1.9
1,46.6,89.8,103.5,0.5,3.8,0.7,0.9
1,42.7,94.1,100,0.8,0.8,0.2,0.7
1,49.6,101.2,99.4,0.7,0.6,1,0.8
1,48.6,103.2,97.1,0.2,0.7,1,1.2
1,45.5,103.1,98.2,0.5,0.4,0.2,0.7
1,30.1,102.1,98.7,0.5,0.8,0.2,0.4
1,91.8,103.1,95.2,0.5,0.8,0.2,0.4
1,36.3,113.9,70.5,1,0.5,0.3,1.8
1,36.3,113.9,70.5,1,0.5,0.3,1.8
1,61,137.3,70.9,0.9,0.4,2.3,1.9
1,59.3,131,76.5,0.6,0.4,2.3,0.3
1,59,118.2,84.4,0.7,0.6,1,0.9
1,59.8,116.8,86.5,0.9,0.6,1.6,0.7
1,63,123.4,92.3,0.8,0.6,1.7,0.4
1,65.3,127.9,94.2,0.3,2.1,2.3,0.6
1,68.6,149.7,89.9,0.8,1.9,1.9,0.6
1,69.2,155.9,100.2,1.2,4.2,1.8,0.9
1,72.5,158.9,103.9,0.9,4.2,0.9,1.3
1,80.9,145.5,97.8,1,4.5,0.5,1
1,81.6,159.2,100,0.3,1.7,0.8,1.4
1,90.8,168.2,100,1.1,2,1.9,0.5
1,94.3,166.8,97.7,1.6,2.9,2.9,0.4
1,94.5,165,96.6,1.2,1,1.1,0
1,98.1,170.4,92.3,0.9,1,0.3,0
1,96.5,172.5,89.1,0.9,1,0.3,0
0,39.6,54,81.1,2.9,1.9,2.4,1.9
0,39.6,54,81.1,2.9,1.9,2.4,1.9
0,36.3,60.8,89.3,1.7,1.7,3.9,1.3
0,32.9,58.1,100.5,2.5,1.2,2.4,1.6
0,41.3,60.9,96.3,0.8,1.5,1.4,0.6
0,45,69.4,86.2,0.9,0.9,1.4,0.6
0,44.1,71.2,85.6,1,1.4,1.2,0.6
0,46.6,70.3,95.5,0.1,1.8,0.7,0.5
0,46.6,77.8,97.5,0.4,1.4,1.6,0.3
0,42.4,80.7,101,0.4,2.1,1,1.6
0,44.3,80.8,110.7,0.2,0.7,0.8,1.4
0,47.1,75.2,94.1,0.2,1.1,0.8,1.3
0,51,82.1,100,0.5,1.7,0.8,0.9
0,51.6,87.1,98.6,1,2,1.7,0.2
0,55.1,89.3,96,0.8,1,1.8,0.4
0,55.6,90.7,96.7,0.7,1.3,1,0.6
0,96.5,93.7,97.3,0.4,0.4,0.6,0.6
0,77.5,96,94,0.4,0.4,0.6,0.6
0,97.5,59.9,71.6,5,3,4.6,4.9
0,97.5,59.9,71.6,5,3,4.6,4.9
0,48.3,70.7,80.4,5.1,1.7,8.7,5.1
0,43.1,73.5,81.6,5.3,0.2,7.8,4.5
0,7,76,82.3,0.7,1.7,4.6,0.9
0,27,76.5,79.6,0.7,2.1,2.8,1
0,32.5,80.2,81.5,1.6,2.3,2.4,1.9
0,32.5,75.9,96.1,1.2,2,1.9,0.9
0,23.1,76.1,103,0.3,0.8,1.4,0.5
0,52.9,72.6,111.7,1.3,8.5,1.5,0.5
0,42.7,67.1,106.1,1.3,7.8,1.1,1
0,39.6,61.2,98.1,1.6,4.3,0.2,0.6
0,34.6,70.7,100,0.8,1,1.4,0.4
0,38.8,79.3,102.9,1.2,1.6,1.2,0.3
0,41.6,79.9,96.7,1.7,1.6,1.5,0.6
0,41.5,80.3,101.2,1.5,0.3,2.3,0.5
0,53.5,82.8,101.5,0.8,0.3,1.3,0.2
0,55.7,82.7,97.7,0.8,0.3,1.3,0.2
0,39.6,76,110.6,0.2,1.8,0.8,1.4
0,39.6,76,110.6,0.2,1.8,0.8,1.4
0,48.5,82.3,108.1,0.1,1.7,0.7,1.3
0,10.9,81.3,99,0.3,0.4,0.2,0.8
0,3.8,77.9,101.7,0.5,1.2,1,0.1
0,43.1,76.1,108.3,0.7,1,0.9,0.2
0,38.8,79.3,108.9,0.5,1,0.5,0.1
0,4.6,84.6,104.7,0.4,1,0.9,0.2
0,30.9,88.8,104.1,0.2,2.7,1,0.7
0,27,89.5,105.6,0.5,4.3,2,2.3
0,48.8,93.4,103.5,0.5,5.6,1.9,1.8
